,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
,,s0 -> s15  [label=b],,s0 -> s18 [label=b],,s0 -> s8 [label=b],,s0 -> s8 [label=b],,s0 -> s2 [label=b],,s0 -> s14 [label=b],,s0 -> s12 [label=b],,s0 -> s15 [label=b],,s0 -> s9 [label=b],,s0 -> s9 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s0 -> s0   [label=c],,s0 -> s15 [label=c],,s0 -> s7 [label=c],,s0 -> s16 [label=c],,s0 -> s2 [label=c],,s0 -> s16 [label=c],,s0 -> s9 [label=c],,s0 -> s13 [label=c],,s0 -> s12 [label=c],,s0 -> s2 [label=c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s0 -> s19  [label=d],,s0 -> s17 [label=d],,s0 -> s13 [label=d],,s0 -> s11 [label=d],,s0 -> s3 [label=d],,s0 -> s0 [label=d],,s0 -> s17 [label=d],,s0 -> s12 [label=d],,s0 -> s7 [label=d],,s0 -> s14 [label=d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s0 -> s10  [label=e],,s0 -> s6 [label=e],,s0 -> s0 [label=e],,s0 -> s8 [label=e],,s0 -> s1 [label=e],,s0 -> s18 [label=e],,s0 -> s16 [label=e],,s0 -> s6 [label=e],,s0 -> s6 [label=e],,s0 -> s5 [label=e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s11  [label=a],,s1 -> s3 [label=a],,s1 -> s0 [label=a],,s1 -> s5 [label=a],,s1 -> s15 [label=a],,s1 -> s14 [label=a],,s1 -> s13 [label=a],,s1 -> s6 [label=a],,s1 -> s4 [label=a],,s1 -> s3 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s16  [label=b],,s1 -> s4 [label=b],,s1 -> s2 [label=b],,s1 -> s10 [label=b],,s1 -> s11 [label=b],,s1 -> s11 [label=b],,s1 -> s8 [label=b],,s1 -> s12 [label=b],,s1 -> s1 [label=b],,s1 -> s7 [label=b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s0   [label=c],,s1 -> s13 [label=c],,s1 -> s6 [label=c],,s1 -> s10 [label=c],,s1 -> s16 [label=c],,s1 -> s4 [label=c],,s1 -> s8 [label=c],,s1 -> s18 [label=c],,s1 -> s5 [label=c],,s1 -> s17 [label=c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s3   [label=d],,s1 -> s3 [label=d],,s1 -> s13 [label=d],,s1 -> s12 [label=d],,s1 -> s2 [label=d],,s1 -> s7 [label=d],,s1 -> s18 [label=d],,s1 -> s16 [label=d],,s1 -> s1 [label=d],,s1 -> s13 [label=d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s1 -> s17  [label=e],,s1 -> s7 [label=e],,s1 -> s10 [label=e],,s1 -> s8 [label=e],,s1 -> s18 [label=e],,s1 -> s17 [label=e],,s1 -> s1 [label=e],,s1 -> s17 [label=e],,s1 -> s17 [label=e],,s1 -> s6 [label=e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,s2 -> s17  [label=a],,s2 -> s19 [label=a],,s2 -> s9 [label=a],,s2 -> s19 [label=a],,s2 -> s8 [label=a],,s2 -> s3 [label=a],,s2 -> s18 [label=a],,s2 -> s10 [label=a],,s2 -> s9 [label=a],,s2 -> s8 [label=a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
